time,open,high,low,close
1719215220,62543.59,62554.51,62543.58,62554.5
1719215280,62554.51,62579.88,62554.5,62579.88
1719215340,62579.88,62590,62541.51,62562.9
1719215400,62562.9,62596.24,62562.89,62565.79
1719215460,62565.79,62565.79,62543,62543.01
1719215520,62543.01,62543.01,62521.14,62525.99
1719215580,62526,62534.87,62520,62524.01
1719215640,62524.01,62540,62522.39,62526.29
1719215700,62526.29,62530.44,62500,62500.01
1719215760,62500.01,62500.01,62457.89,62469.99
1719215820,62470,62475.88,62438.61,62470.01
1719215880,62470.01,62470.01,62469.29,62469.3
1719215940,62469.3,62469.3,62440,62456
1719216000,62456,62497.1,62455.99,62496.79
1719216060,62496.78,62497.09,62450.75,62497.08
1719216120,62497.09,62518,62492,62517.99
1719216180,62517.99,62546.08,62504.87,62546.08
1719216240,62546.08,62560,62539.46,62560
1719216300,62560,62565.78,62550.37,62550.43
1719216360,62550.42,62550.43,62526.47,62546
1719216420,62545.99,62545.99,62460,62480.13
1719216480,62480.12,62499.49,62476.01,62476.02
1719216540,62476.02,62482.45,62417.3,62421.9
1719216600,62421.9,62436.24,62421.9,62424.76
1719216660,62424.76,62424.76,62340.01,62355.86
1719216720,62355.85,62370,62350,62364.02
1719216780,62364.02,62386,62364.01,62376.36
1719216840,62376.35,62393.15,62370,62389.06
1719216900,62389.06,62416.72,62389.06,62411.78
1719216960,62411.77,62430,62361.15,62372.01
1719217020,62372,62386,62352,62372.02
1719217080,62372.01,62385.99,62372.01,62385.99
1719217140,62385.99,62411.78,62385.98,62400.01
1719217200,62400,62490,62400,62479.82
1719217260,62479.82,62584.54,62479.81,62584.54
1719217320,62584.54,62645.98,62574,62638.01
1719217380,62638,62707.55,62630,62707.55
1719217440,62707.54,62710.67,62662.38,62704.9
1719217500,62704.89,62704.91,62661.34,62678.02
1719217560,62678.02,62698,62678.02,62698
1719217620,62698,62762,62697.99,62710.81
1719217680,62710.81,62776.22,62710.8,62746.74
1719217740,62746.74,62754,62728,62734.27
1719217800,62734.27,62754.17,62706.62,62754.17
1719217860,62754.16,62839.87,62754.16,62779.26
1719217920,62779.26,62860,62779.26,62850
1719217980,62849.99,62849.99,62804.51,62820
1719218040,62820,62833.87,62812.16,62824.78
1719218100,62824.77,62874.29,62824.12,62869.93
1719218160,62869.93,62875.99,62860,62875.99
1719218220,62875.99,62958.27,62875.99,62958.27
1719218280,62958.27,62975.6,62905.5,62938.01
1719218340,62938,62950,62891.5,62893.87
1719218400,62893.87,62924,62893.87,62902.01
1719218460,62902,62920,62866.81,62884
1719218520,62884,62898,62860,62860.01
1719218580,62860.01,62866.93,62817,62824
1719218640,62824,62859.62,62823.99,62854.12
1719218700,62854.11,62877.07,62826.04,62877.07
1719218760,62877.07,62906.29,62864.21,62880.01
1719218820,62880,62907.29,62870.27,62905.51
1719218880,62905.51,62916.2,62900.36,62916.2
1719218940,62916.19,62950,62916.19,62934.01
1719219000,62934,62936.29,62921.45,62921.45
1719219060,62921.44,62925.6,62911.99,62916.04
1719219120,62916.04,62927.73,62845.52,62847.28
1719219180,62847.28,62849.99,62777.91,62777.92
1719219240,62777.92,62789.99,62644.26,62664
1719219300,62663.99,62663.99,62598.32,62610.67
1719219360,62610.66,62677.37,62610.66,62639.05
1719219420,62639.05,62680,62613.73,62622
1719219480,62622,62685.38,62622,62685.38
1719219540,62685.38,62734,62685.38,62730.92
1719219600,62730.92,62867,62702.84,62846.01
1719219660,62846,62847.23,62749.3,62757.99
1719219720,62757.99,62759.77,62704.01,62704.02
